date,feature_index,avg(band_0)
2023-02-24T00:00:00.000Z,1,
2023-02-25T00:00:00.000Z,6,
2023-02-26T00:00:00.000Z,18,
2023-02-26T00:00:00.000Z,22,
2023-02-25T00:00:00.000Z,9,
2023-02-24T00:00:00.000Z,11,
2023-02-24T00:00:00.000Z,21,
2023-02-26T00:00:00.000Z,4,
2023-02-26T00:00:00.000Z,5,
2023-02-26T00:00:00.000Z,1,
2023-02-26T00:00:00.000Z,20,
2023-02-26T00:00:00.000Z,16,
2023-02-26T00:00:00.000Z,13,
2023-02-24T00:00:00.000Z,5,1885.1724853515625
2023-02-27T00:00:00.000Z,2,
2023-02-27T00:00:00.000Z,12,
2023-02-27T00:00:00.000Z,8,1884.913330078125
2023-02-27T00:00:00.000Z,10,
2023-02-25T00:00:00.000Z,12,
2023-02-26T00:00:00.000Z,0,
2023-02-24T00:00:00.000Z,2,
2023-02-24T00:00:00.000Z,12,
2023-02-27T00:00:00.000Z,9,
2023-02-24T00:00:00.000Z,9,
2023-02-24T00:00:00.000Z,3,
2023-02-26T00:00:00.000Z,14,
2023-02-08T00:00:00.000Z,18,
2023-02-09T00:00:00.000Z,9,
2023-02-11T00:00:00.000Z,21,
2023-02-11T00:00:00.000Z,14,
2023-02-11T00:00:00.000Z,8,
2023-02-09T00:00:00.000Z,17,1907.1778564453125
2023-02-08T00:00:00.000Z,15,
2023-02-11T00:00:00.000Z,6,
2023-02-09T00:00:00.000Z,8,
2023-02-11T00:00:00.000Z,11,1906.002587890625
2023-02-10T00:00:00.000Z,20,
2023-02-10T00:00:00.000Z,16,
2023-02-09T00:00:00.000Z,3,
2023-02-11T00:00:00.000Z,0,
2023-02-09T00:00:00.000Z,19,
2023-02-09T00:00:00.000Z,20,
2023-02-09T00:00:00.000Z,4,
2023-02-11T00:00:00.000Z,13,1880.8116455078125
2023-02-10T00:00:00.000Z,14,
2023-02-08T00:00:00.000Z,8,
2023-02-08T00:00:00.000Z,6,
2023-02-10T00:00:00.000Z,22,
2023-02-08T00:00:00.000Z,22,
2023-02-08T00:00:00.000Z,21,
2023-02-10T00:00:00.000Z,10,
2023-02-11T00:00:00.000Z,16,
2023-02-09T00:00:00.000Z,22,
2023-02-09T00:00:00.000Z,1,
2023-02-08T00:00:00.000Z,20,
2023-02-10T00:00:00.000Z,2,
2023-02-11T00:00:00.000Z,1,
2023-02-08T00:00:00.000Z,17,
2023-02-08T00:00:00.000Z,2,
2023-02-10T00:00:00.000Z,13,1883.791943359375
2023-02-11T00:00:00.000Z,5,
2023-02-09T00:00:00.000Z,5,
2023-02-08T00:00:00.000Z,19,
2023-02-11T00:00:00.000Z,4,
2023-02-08T00:00:00.000Z,13,
2023-02-11T00:00:00.000Z,17,
2023-02-10T00:00:00.000Z,5,
2023-02-10T00:00:00.000Z,19,
2023-02-09T00:00:00.000Z,16,
2023-02-11T00:00:00.000Z,9,
2023-02-08T00:00:00.000Z,0,
2023-02-11T00:00:00.000Z,2,
2023-02-09T00:00:00.000Z,2,1881.1180419921875
2023-02-10T00:00:00.000Z,8,
2023-02-10T00:00:00.000Z,3,
2023-02-09T00:00:00.000Z,0,
2023-02-11T00:00:00.000Z,22,
2023-02-08T00:00:00.000Z,5,
2023-02-11T00:00:00.000Z,7,
2023-02-09T00:00:00.000Z,12,
2023-02-10T00:00:00.000Z,12,
2023-02-08T00:00:00.000Z,16,
2023-02-11T00:00:00.000Z,20,
2023-02-11T00:00:00.000Z,12,
2023-02-09T00:00:00.000Z,21,1883.361865234375
2023-02-11T00:00:00.000Z,3,
2023-02-10T00:00:00.000Z,7,
2023-02-10T00:00:00.000Z,4,
2023-02-08T00:00:00.000Z,1,
2023-02-08T00:00:00.000Z,9,
2023-02-10T00:00:00.000Z,0,
2023-02-10T00:00:00.000Z,21,
2023-02-10T00:00:00.000Z,15,
2023-02-09T00:00:00.000Z,15,
2023-02-10T00:00:00.000Z,9,
2023-02-10T00:00:00.000Z,11,1894.0866455078126
2023-02-10T00:00:00.000Z,1,
2023-02-11T00:00:00.000Z,18,
2023-02-09T00:00:00.000Z,11,
2023-02-09T00:00:00.000Z,13,
2023-02-08T00:00:00.000Z,10,
2023-02-09T00:00:00.000Z,7,
2023-02-10T00:00:00.000Z,6,
2023-02-08T00:00:00.000Z,14,
2023-02-09T00:00:00.000Z,10,
2023-02-11T00:00:00.000Z,10,
2023-02-08T00:00:00.000Z,7,
2023-02-08T00:00:00.000Z,4,
2023-02-09T00:00:00.000Z,6,
2023-02-11T00:00:00.000Z,15,
2023-02-10T00:00:00.000Z,18,
2023-02-09T00:00:00.000Z,18,
2023-02-08T00:00:00.000Z,11,
2023-02-08T00:00:00.000Z,3,
2023-02-11T00:00:00.000Z,19,
2023-02-10T00:00:00.000Z,17,1891.5764973958333
2023-02-08T00:00:00.000Z,12,
2023-02-09T00:00:00.000Z,14,
2023-02-07T00:00:00.000Z,0,
2023-02-04T00:00:00.000Z,0,
2023-02-07T00:00:00.000Z,18,
2023-02-04T00:00:00.000Z,11,1920.7645568847656
2023-02-04T00:00:00.000Z,8,
2023-02-06T00:00:00.000Z,15,
2023-02-04T00:00:00.000Z,19,
2023-02-07T00:00:00.000Z,22,
2023-02-06T00:00:00.000Z,3,
2023-02-04T00:00:00.000Z,16,
2023-02-04T00:00:00.000Z,10,
2023-02-07T00:00:00.000Z,2,
2023-02-07T00:00:00.000Z,17,1886.7962239583333
2023-02-06T00:00:00.000Z,12,
2023-02-04T00:00:00.000Z,2,1916.1424560546875
2023-02-07T00:00:00.000Z,20,
2023-02-06T00:00:00.000Z,4,
2023-02-07T00:00:00.000Z,9,
2023-02-05T00:00:00.000Z,20,
2023-02-05T00:00:00.000Z,21,1904.71572265625
2023-02-07T00:00:00.000Z,7,
2023-02-05T00:00:00.000Z,3,1896.987744140625
2023-02-05T00:00:00.000Z,8,
2023-02-07T00:00:00.000Z,16,
2023-02-06T00:00:00.000Z,10,
2023-02-05T00:00:00.000Z,11,1887.617333984375
2023-02-04T00:00:00.000Z,5,
2023-02-07T00:00:00.000Z,12,
2023-02-05T00:00:00.000Z,13,1866.465087890625
2023-02-05T00:00:00.000Z,18,1893.449951171875
2023-02-05T00:00:00.000Z,15,
2023-02-06T00:00:00.000Z,2,1886.53955078125
2023-02-06T00:00:00.000Z,0,
2023-02-06T00:00:00.000Z,9,
2023-02-07T00:00:00.000Z,11,1895.955810546875
2023-02-07T00:00:00.000Z,6,
2023-02-06T00:00:00.000Z,6,
2023-02-04T00:00:00.000Z,14,
2023-02-05T00:00:00.000Z,14,
2023-02-04T00:00:00.000Z,7,1920.273681640625
2023-02-07T00:00:00.000Z,3,
2023-02-04T00:00:00.000Z,4,
2023-02-05T00:00:00.000Z,10,
2023-02-05T00:00:00.000Z,19,
2023-02-04T00:00:00.000Z,12,
2023-02-05T00:00:00.000Z,7,1899.867431640625
2023-02-05T00:00:00.000Z,5,
2023-02-07T00:00:00.000Z,13,
2023-02-07T00:00:00.000Z,8,
2023-02-06T00:00:00.000Z,18,1888.8394775390625
2023-02-07T00:00:00.000Z,19,
2023-02-07T00:00:00.000Z,1,
2023-02-04T00:00:00.000Z,13,
2023-02-07T00:00:00.000Z,21,
2023-02-05T00:00:00.000Z,9,
2023-02-05T00:00:00.000Z,6,1915.2024536132812
2023-02-04T00:00:00.000Z,18,
2023-02-06T00:00:00.000Z,5,
2023-02-07T00:00:00.000Z,15,
2023-02-04T00:00:00.000Z,6,
2023-02-05T00:00:00.000Z,22,
2023-02-05T00:00:00.000Z,16,
2023-02-06T00:00:00.000Z,22,
2023-02-06T00:00:00.000Z,14,
2023-02-06T00:00:00.000Z,21,1882.8093994140625
2023-02-07T00:00:00.000Z,5,
2023-02-05T00:00:00.000Z,2,1903.4949951171875
2023-02-04T00:00:00.000Z,17,1916.324462890625
2023-02-05T00:00:00.000Z,1,
2023-02-04T00:00:00.000Z,22,
2023-02-04T00:00:00.000Z,21,1921.3864013671875
2023-02-06T00:00:00.000Z,8,1885.5337524414062
2023-02-06T00:00:00.000Z,1,
2023-02-05T00:00:00.000Z,0,1903.9779052734375
2023-02-07T00:00:00.000Z,14,
2023-02-06T00:00:00.000Z,20,
2023-02-07T00:00:00.000Z,10,
2023-02-06T00:00:00.000Z,13,
2023-02-07T00:00:00.000Z,4,
2023-02-06T00:00:00.000Z,19,
2023-02-04T00:00:00.000Z,15,1882.2550048828125
2023-02-05T00:00:00.000Z,17,1868.7171936035156
2023-02-06T00:00:00.000Z,17,1876.5635986328125
2023-02-06T00:00:00.000Z,11,1900.13251953125
2023-02-06T00:00:00.000Z,7,1900.6253051757812
2023-02-04T00:00:00.000Z,9,
2023-02-05T00:00:00.000Z,4,
2023-02-04T00:00:00.000Z,20,
2023-02-06T00:00:00.000Z,16,
2023-02-04T00:00:00.000Z,3,
2023-02-04T00:00:00.000Z,1,
2023-02-05T00:00:00.000Z,12,
2023-02-15T00:00:00.000Z,19,
2023-02-13T00:00:00.000Z,8,1882.3164672851562
2023-02-13T00:00:00.000Z,0,
2023-02-14T00:00:00.000Z,3,
2023-02-13T00:00:00.000Z,9,
2023-02-12T00:00:00.000Z,0,
2023-02-12T00:00:00.000Z,5,
2023-02-14T00:00:00.000Z,15,
2023-02-15T00:00:00.000Z,14,
2023-02-12T00:00:00.000Z,22,
2023-02-14T00:00:00.000Z,4,
2023-02-13T00:00:00.000Z,18,1892.7400817871094
2023-02-13T00:00:00.000Z,1,
2023-02-15T00:00:00.000Z,0,
2023-02-14T00:00:00.000Z,5,1916.4195556640625
2023-02-14T00:00:00.000Z,17,
2023-02-13T00:00:00.000Z,2,
2023-02-15T00:00:00.000Z,8,
2023-02-14T00:00:00.000Z,6,
2023-02-15T00:00:00.000Z,20,
2023-02-13T00:00:00.000Z,12,
2023-02-14T00:00:00.000Z,8,
2023-02-14T00:00:00.000Z,22,
2023-02-14T00:00:00.000Z,1,
2023-02-13T00:00:00.000Z,19,
2023-02-14T00:00:00.000Z,11,
2023-02-13T00:00:00.000Z,15,
2023-02-12T00:00:00.000Z,15,
2023-02-14T00:00:00.000Z,21,
2023-02-12T00:00:00.000Z,2,1877.514892578125
2023-02-15T00:00:00.000Z,22,
2023-02-12T00:00:00.000Z,18,
2023-02-14T00:00:00.000Z,14,
2023-02-12T00:00:00.000Z,17,1830.3187255859375
2023-02-15T00:00:00.000Z,7,
2023-02-12T00:00:00.000Z,12,
2023-02-15T00:00:00.000Z,17,1887.6669311523438
2023-02-13T00:00:00.000Z,13,
2023-02-15T00:00:00.000Z,2,
2023-02-12T00:00:00.000Z,10,
2023-02-14T00:00:00.000Z,20,
2023-02-12T00:00:00.000Z,8,
2023-02-15T00:00:00.000Z,11,1900.319287109375
2023-02-14T00:00:00.000Z,7,
2023-02-14T00:00:00.000Z,16,
2023-02-12T00:00:00.000Z,11,
2023-02-12T00:00:00.000Z,1,
2023-02-12T00:00:00.000Z,14,
2023-02-14T00:00:00.000Z,0,
2023-02-15T00:00:00.000Z,13,
2023-02-14T00:00:00.000Z,10,
2023-02-13T00:00:00.000Z,6,
2023-02-14T00:00:00.000Z,18,
2023-02-13T00:00:00.000Z,10,
2023-02-12T00:00:00.000Z,19,
2023-02-15T00:00:00.000Z,9,
2023-02-13T00:00:00.000Z,17,
2023-02-12T00:00:00.000Z,6,
2023-02-14T00:00:00.000Z,13,
2023-02-14T00:00:00.000Z,2,
2023-02-13T00:00:00.000Z,7,1913.3677978515625
2023-02-15T00:00:00.000Z,16,
2023-02-13T00:00:00.000Z,4,
2023-02-15T00:00:00.000Z,12,
2023-02-12T00:00:00.000Z,7,
2023-02-15T00:00:00.000Z,1,
2023-02-13T00:00:00.000Z,16,1887.236328125
2023-02-13T00:00:00.000Z,11,
2023-02-15T00:00:00.000Z,21,
2023-02-14T00:00:00.000Z,9,
2023-02-12T00:00:00.000Z,9,
2023-02-14T00:00:00.000Z,19,1883.9765625
2023-02-13T00:00:00.000Z,3,
2023-02-12T00:00:00.000Z,13,1874.9633056640625
2023-02-12T00:00:00.000Z,20,
2023-02-15T00:00:00.000Z,18,
2023-02-15T00:00:00.000Z,4,
2023-02-12T00:00:00.000Z,3,
2023-02-13T00:00:00.000Z,21,
2023-02-13T00:00:00.000Z,5,1899.5883382161458
2023-02-13T00:00:00.000Z,22,
2023-02-12T00:00:00.000Z,21,
2023-02-13T00:00:00.000Z,14,
2023-02-15T00:00:00.000Z,10,
2023-02-15T00:00:00.000Z,5,
2023-02-14T00:00:00.000Z,12,
2023-02-12T00:00:00.000Z,4,
2023-02-15T00:00:00.000Z,3,
2023-02-15T00:00:00.000Z,15,
2023-02-15T00:00:00.000Z,6,
2023-02-13T00:00:00.000Z,20,
2023-02-12T00:00:00.000Z,16,
2023-02-21T00:00:00.000Z,7,
2023-02-21T00:00:00.000Z,4,
2023-02-23T00:00:00.000Z,14,
2023-02-21T00:00:00.000Z,17,
2023-02-22T00:00:00.000Z,10,
2023-02-23T00:00:00.000Z,10,
2023-02-23T00:00:00.000Z,0,
2023-02-21T00:00:00.000Z,6,
2023-02-20T00:00:00.000Z,16,
2023-02-20T00:00:00.000Z,19,
2023-02-22T00:00:00.000Z,19,
2023-02-21T00:00:00.000Z,21,1907.1187744140625
2023-02-23T00:00:00.000Z,8,
2023-02-20T00:00:00.000Z,22,
2023-02-23T00:00:00.000Z,7,
2023-02-21T00:00:00.000Z,16,
2023-02-21T00:00:00.000Z,1,
2023-02-22T00:00:00.000Z,9,
2023-02-21T00:00:00.000Z,18,
2023-02-21T00:00:00.000Z,22,
2023-02-23T00:00:00.000Z,6,1887.2194213867188
2023-02-22T00:00:00.000Z,13,
2023-02-21T00:00:00.000Z,8,
2023-02-21T00:00:00.000Z,19,
2023-02-22T00:00:00.000Z,17,
2023-02-22T00:00:00.000Z,20,
2023-02-23T00:00:00.000Z,1,
2023-02-20T00:00:00.000Z,6,
2023-02-22T00:00:00.000Z,16,
2023-02-23T00:00:00.000Z,21,1871.5513671875
2023-02-23T00:00:00.000Z,12,
2023-02-21T00:00:00.000Z,12,
2023-02-20T00:00:00.000Z,10,
2023-02-21T00:00:00.000Z,3,
2023-02-20T00:00:00.000Z,15,
2023-02-20T00:00:00.000Z,20,
2023-02-23T00:00:00.000Z,11,
2023-02-22T00:00:00.000Z,2,
2023-02-20T00:00:00.000Z,9,
2023-02-20T00:00:00.000Z,12,
2023-02-22T00:00:00.000Z,18,
2023-02-23T00:00:00.000Z,18,
2023-02-21T00:00:00.000Z,5,
2023-02-21T00:00:00.000Z,15,
2023-02-22T00:00:00.000Z,21,1876.4393310546875
2023-02-22T00:00:00.000Z,6,
2023-02-23T00:00:00.000Z,20,
2023-02-21T00:00:00.000Z,20,
2023-02-23T00:00:00.000Z,4,
2023-02-22T00:00:00.000Z,3,
2023-02-22T00:00:00.000Z,12,
2023-02-23T00:00:00.000Z,13,
2023-02-23T00:00:00.000Z,15,
2023-02-22T00:00:00.000Z,7,
2023-02-23T00:00:00.000Z,5,
2023-02-22T00:00:00.000Z,11,
2023-02-23T00:00:00.000Z,16,
2023-02-20T00:00:00.000Z,5,1870.097900390625
2023-02-21T00:00:00.000Z,9,
2023-02-21T00:00:00.000Z,0,
2023-02-22T00:00:00.000Z,1,
2023-02-23T00:00:00.000Z,3,
2023-02-21T00:00:00.000Z,13,
2023-02-21T00:00:00.000Z,2,1891.80126953125
2023-02-21T00:00:00.000Z,11,
2023-02-22T00:00:00.000Z,0,
2023-02-21T00:00:00.000Z,14,
2023-02-22T00:00:00.000Z,14,
2023-02-23T00:00:00.000Z,2,
2023-02-22T00:00:00.000Z,5,
2023-02-23T00:00:00.000Z,22,
2023-02-22T00:00:00.000Z,8,
2023-02-22T00:00:00.000Z,4,
2023-02-21T00:00:00.000Z,10,
2023-02-23T00:00:00.000Z,17,
2023-02-22T00:00:00.000Z,22,
2023-02-22T00:00:00.000Z,15,
2023-02-23T00:00:00.000Z,19,
2023-02-23T00:00:00.000Z,9,
2023-02-17T00:00:00.000Z,2,
2023-02-18T00:00:00.000Z,14,
2023-02-16T00:00:00.000Z,4,
2023-02-16T00:00:00.000Z,20,
2023-02-16T00:00:00.000Z,6,
2023-02-16T00:00:00.000Z,8,1910.7013549804688
2023-02-18T00:00:00.000Z,21,
2023-02-17T00:00:00.000Z,11,1886.3043212890625
2023-02-18T00:00:00.000Z,7,
2023-02-17T00:00:00.000Z,4,
2023-02-19T00:00:00.000Z,0,
2023-02-19T00:00:00.000Z,6,
2023-02-16T00:00:00.000Z,17,1894.0198974609375
2023-02-18T00:00:00.000Z,2,
2023-02-19T00:00:00.000Z,8,
2023-02-16T00:00:00.000Z,2,
2023-02-16T00:00:00.000Z,14,
2023-02-18T00:00:00.000Z,11,1885.3777262369792
2023-02-18T00:00:00.000Z,15,
2023-02-17T00:00:00.000Z,3,1898.784765625
2023-02-18T00:00:00.000Z,13,1874.6827392578125
2023-02-19T00:00:00.000Z,20,
2023-02-18T00:00:00.000Z,22,
2023-02-17T00:00:00.000Z,14,
2023-02-19T00:00:00.000Z,19,
2023-02-19T00:00:00.000Z,21,
2023-02-18T00:00:00.000Z,20,
2023-02-16T00:00:00.000Z,11,1907.5369384765625
2023-02-16T00:00:00.000Z,1,
2023-02-19T00:00:00.000Z,1,
2023-02-16T00:00:00.000Z,19,
2023-02-19T00:00:00.000Z,11,
2023-02-19T00:00:00.000Z,14,
2023-02-17T00:00:00.000Z,12,
2023-02-16T00:00:00.000Z,3,
2023-02-18T00:00:00.000Z,0,
2023-02-16T00:00:00.000Z,7,1919.7239990234375
2023-02-18T00:00:00.000Z,19,1887.8900960286458
2023-02-16T00:00:00.000Z,12,
2023-02-17T00:00:00.000Z,0,1914.4300537109375
2023-02-17T00:00:00.000Z,16,1908.403564453125
2023-02-18T00:00:00.000Z,10,
2023-02-18T00:00:00.000Z,6,
2023-02-16T00:00:00.000Z,18,
2023-02-17T00:00:00.000Z,5,
2023-02-19T00:00:00.000Z,9,
2023-02-18T00:00:00.000Z,9,
2023-02-16T00:00:00.000Z,10,
